author,body,likes,dislikes,replies,video_likes,video_dislikes,video_shares,video_views,youtube_predicted_emotion
@njskyline976,"im afraid that when messi and di maria retired, there's no new generation to replace them both, i mean im term of talent and magic playing.",0,0,0,309300,0,0,20463015,fear
@gius2010,otamendi nearly gave out the world cup to france.,0,0,0,309300,0,0,20463015,neutral
@kc-kk9941,"to be frank, i am france supporter but supported argentina in that final game. it is just bcos i wanted to see messi lift up world cup trophy. it would be his final game if they loose as he intended to retire from international tournaments. he got what he deserves and long waited for, else unfair to him. i felt sad when messi was very sad after losing france in 2018 (4-3). france got a few world cups recently and should be able to self console.",0,0,0,309300,0,0,20463015,sadness
@taufikramadhan8741,the best world cup final,0,0,0,309300,0,0,20463015,admiration
@Lamamitschuss,fifa is currupted,0,0,0,309300,0,0,20463015,neutral
@RoteEcke,wow,0,0,0,309300,0,0,20463015,surprise
@Beach_nvgga,"even tho the whole thing was rigged, this match was certainly entertaining. nice script fifadogs👏🏻",1,0,1,309300,0,0,20463015,amusement
@gianniaiello1339,molti dicono che questo mondiale sia stato pilotato dalla scelta del luogo alla vittoria finale cmq complimenti a chi ha vinto,0,0,0,309300,0,0,20463015,neutral
@JOKERLetsLaugh,"peeesssiiii the chosen puppet, most rigged player all time. the dwarf player with big ears from pills",1,0,0,309300,0,0,20463015,neutral
@user-tc4ct8hb2r,"мировой чемпионат по даванию пизды баалу по идее, мы должны его выиграть 😊",0,0,0,309300,0,0,20463015,curiosity
@marvinsilverman4394,"messi had to have a great super team behind and a great coach for win the world cup without that is almost impossibl even messi being a great player. then for cr7 he should have a great team and a great coach even maradona in 1986 had to have a great team and in 1970 pele had a great team too, pele alone never could win a world cup never is easy sorry for my english",0,0,0,309300,0,0,20463015,admiration
@tannosb,martinez save should go down as the greatest gk save in history of the sport not just world cup.,0,0,0,309300,0,0,20463015,neutral
@IaMD.B.,"greatest world cup final ever without a shadow of a doubt. it had everything: the messi narrative, messi double, mbappe hattrick, 3 penalties, an incredible last minute save, extra time, and a penalty shootout. this match was the goat.",1,0,0,309300,0,0,20463015,admiration
@FelipeMarquess-hy5fj,"di maria gran jugador, legenda",0,0,0,309300,0,0,20463015,neutral
@AM-yn2uj,absolute chills,0,0,0,309300,0,0,20463015,fear
@333_driizy,"greatest final ever, start to finish",2,0,0,309300,0,0,20463015,admiration
@zemasound5948,the day when our pulse rate increased when mbappe got the ball,0,0,0,309300,0,0,20463015,joy
@gurek09,mbappe knows real meaning of one man army☠️☠️,3,0,1,309300,0,0,20463015,neutral
@allawy,best world cup ever. thanks qatar! 🇶🇦,1,0,0,309300,0,0,20463015,admiration
@youtuber-tg1pu,"the day my childhood finished, i smiled at the end, messi won it. the moment i felt like the sport of football had ended and been conquered.",1,0,0,309300,0,0,20463015,joy
@azero8909,messi not the best.,2,0,0,309300,0,0,20463015,disapproval
@anamasianamasi9536,بقلاجات,0,0,0,309300,0,0,20463015,curiosity
@anamasianamasi9536,صالح خليفه,0,0,0,309300,0,0,20463015,neutral
@greenbluedynamic,"pertandingan ini bukan hanya menasbihkan messi sebagai pemain sempurna (dalam perolehan tropi), tapi juga sweet revenge dari argentina atas kekalahan mereka pada piala dunia 2022 sebelumnya.",1,0,0,309300,0,0,20463015,neutral
@MJ-yi7jb,argentina forever 😊❤🎉,1,0,0,309300,0,0,20463015,caring
@andrejsparhomenko6405,"i swear to my life, i will watch this even 10 years after.",1,0,0,309300,0,0,20463015,optimism
